Nuclide,Number_of_Atoms,Percentage
Sm146,1.1701602498171642e+24,11.556747484048632
Sm147,1.1645325666384489e+24,11.501167307378983
Sm148,1.126861828943577e+24,11.129123219276103
Sm149,7.861572848064313e+23,7.764253848712443
H1,5.640348181510334e+23,5.5705258887415425
Eu150,5.378249927786761e+23,5.3116721689397695
Pm145,5.072648193721886e+23,5.009853501639546
Eu151,4.7239259481482085e+23,4.665448114873495
Sm144,4.58743389105297e+23,4.530645703180354
Sm145,4.5657953287997805e+23,4.509275006310669
Nd142,3.8812801057861336e+23,3.8332334485332615
Nd143,3.529452965643001e+23,3.48576160292028
He4,2.473879039750719e+23,2.4432547057505083
Nd144,2.3817296226052567e+23,2.352246013144623
Pr141,2.251294521830449e+23,2.223425578255776
Pm144,2.0079479067730635e+23,1.9830913691800864
Eu152,1.8338464858368393e+23,1.8111451627790076
Pm143,1.8144321961027377e+23,1.7919712039922322
Sm150,1.4514479733021178e+23,1.4334803900839783
Ce140,1.2299182757373102e+23,1.21469302524449
Eu149,1.0069813639878836e+23,0.9945158662302164
Eu153,8.821400817927444e+22,0.8712200036216968
La139,4.076849941157154e+22,0.4026382310258226
Sm151,4.031133042475593e+22,0.3981231344490999
H2,3.860573794918943e+22,0.3812783462639815
Gd152,3.6558408256919414e+22,0.3610584898179464
Nd145,3.5164243830243668e+22,0.3472894302102111
Sm152,2.575388340587911e+22,0.25435074153465703
Ce139,2.117435552980173e+22,0.20912236596109163
Pm146,1.9666699602553e+22,0.19423244054552125
La138,1.9053815425141486e+22,0.18817946816296047
Gd154,1.802080609607543e+22,0.1779772518711763
Gd150,1.6653885569751279e+22,0.16447725872411856
La137,1.344012880897344e+22,0.13273752447381673
Ce138,1.127977406772759e+22,0.11140140899352548
Eu148,1.0655067518154645e+22,0.1052316763896587
Eu154,9.087867366050197e+21,0.08975367974974238
Gd153,8.901226735082885e+21,0.08791037782362607
Pm147,8.491987732773434e+21,0.08386864780326919
Gd151,7.389302316201122e+21,0.07297829589150298
Ba136,6.112659241724469e+21,0.06036990174951137
Nd146,4.414909462501614e+21,0.043602569674572475
Gd155,4.0740368246680527e+21,0.040236040175489284
H3,2.779702067125748e+21,0.027452919269544195
Ba135,2.4865757164251303e+21,0.024557942093130086
Ba134,1.0773362754769035e+21,0.010639998489982379
Gd156,7.126030548972647e+20,0.007037816882855232
He3,6.058546931170677e+20,0.005983547724744312
Gd148,6.014445386361905e+20,0.005939992116263245
Eu147,5.570949789753013e+20,0.00550198658487579
Eu155,5.2389529481913355e+20,0.005174099557092244
Gd149,3.1961014405547786e+20,0.0031565366613390713
Ba137,2.968428267274919e+20,0.002931681871330737
Ba138,1.3346684038059863e+20,0.001318146443628903
Ce141,1.100564157416288e+20,0.0010869401912466353
Pm148,1.0025592609986216e+20,0.0009901485047852055
Sm154,9.738137746005733e+19,0.0009617588609171708
Nd141,7.426287931702745e+19,0.0007334357356946304
Pr143,6.012591468842004e+19,0.0005938161148527236
Nd148,4.4064508037718655e+19,0.00043519030190977193
Gd157,4.23272590282733e+19,0.00041803286717191396
Ce142,2.8668280943411474e+19,0.0002831339414550588
Cs135,2.7836807244487668e+19,0.0002749221332180317
Pm149,2.0375599547249922e+19,0.0002012336847371595
Cs134,1.6568454879560856e+19,0.000163633527351366
Pr142,9.732724356696822e+18,9.612242232614676e-05
Cs133,8.823512845534516e+18,8.714285918876038e-05
Nd147,7.499842554421461e+18,7.407001441478955e-05
Ce137,7.21218522624914e+18,7.12290504492617e-05
Eu146,5.340694419811057e+18,5.274581563411321e-05
Sm143,3.9968511366303334e+18,3.947373816926933e-05
Sm153,3.1270919619580913e+18,3.088381456248795e-05
Nd140,2.54894788116594e+18,2.5173942643529614e-05
La140,2.536745470847185e+18,2.5053429085858657e-05
Gd158,2.0960355583875118e+18,2.070088577154814e-05
Gd147,1.8745479550630316e+18,1.8513427854678977e-05
Cs136,1.66014923410806e+18,1.63959812234447e-05
Pr140,9.854422723045421e+17,9.732434085767417e-06
Cs137,8.483710174093261e+17,8.378689690165884e-06
Pm151,5.004676215960291e+17,4.9427229540837844e-06
Eu156,4.720925521091745e+17,4.662484830328385e-06
La136,1.7954206931989978e+17,1.7731950459074649e-06
Xe134,1.726026816978065e+17,1.7046602016799368e-06
Gd146,1.672673685513089e+17,1.6519675326271025e-06
Pm142,1.3163704168248733e+17,1.300074968799693e-06
Pm150,1.1282756301066635e+17,1.114308621540163e-06
Eu145,6.374303500423533e+16,6.295395519766826e-07
Pr145,5.724575378351603e+16,5.653710430801991e-07
Xe133,4.112759992953196e+16,4.0618478288323533e-07
Pr144,3.0231718431508492e+16,2.9857477723789764e-07
Ce143,2.1661935341922372e+16,2.139378062120133e-07
Ba139,9320693566660360.0,9.205312002601439e-08
Ce144,5843567827941977.0,5.771229863942811e-08
Pr139,5000048428198866.0,4.938152454053817e-08
Nd149,3412055831390674.0,3.369817736589401e-08
Xe136,3185524347245161.0,3.1460905026600725e-08
Nd150,3093863421261204.0,3.055564254147001e-08
Ce136,320633410924697.06,3.1666426590587917e-09
Pm152,277691844656335.06,2.74254276503954e-09
Pr146,243762351151663.12,2.4074479874170482e-09
Ba140,240948569190397.53,2.379658487981737e-09
La141,221889834963711.78,2.191430440705463e-09
Xe135,204720699766725.94,2.021864468846429e-09
Eu157,135881766198146.55,1.3419967563279302e-09
Sm155,79758546947632.75,7.877120991868007e-10
Nd139,68904824010328.37,6.805184603088333e-10
La142,10639238956231.984,1.0507535019997282e-10
Cs138,7338909017407.452,7.248060112778353e-11
Sm156,1215268986696.3262,1.2002250808502119e-11
Nd151,578413728887.6381,5.712535019973423e-12
Pm154,255129747979.06015,2.519714777120193e-12
Pr147,232952881786.33838,2.3006914060760426e-12
Ce145,173799993658.11554,1.7164851051383178e-12
Pm153,128720260617.29202,1.2712682286613371e-12
Pr148,105741769719.03674,1.0443278442848048e-12
Sm142,4285342905.435992,4.23229432450993e-14
La143,1022530168.6200285,1.009872191044752e-14
Pr144_m1,1001255210.0614365,9.88860596792284e-15
Pm141,401910903.4360667,3.969356182473484e-15
Cs139,147206718.92513934,1.453844359214025e-15
Ba141,141203633.40048707,1.3945566304226959e-15
Ce146,70495359.29651053,6.962269196157943e-16
Pr149,18508947.565665327,1.8279823916879154e-16
La144,7183117.221256413,7.094196874945306e-17
Ce147,1679541.7032024437,1.658750530610862e-17
Pr150,388103.8984821667,3.832995312423281e-18
Nd152,4.037728832156925e-05,3.987745484397645e-28
Ce148,9.800244823730515e-15,9.67892685872767e-38
