Reaction,Product_Nuclide,Integrated_Rate
"B10 ((n,a))",Nuclide_1,3.4326219030179773e-06
"B10 ((n,a))",Nuclide_18,6.60803728138473e-08
"B10 ((n,a))",Nuclide_28,2.8010604602297903e-08
"B10 ((n,a))",Nuclide_10,1.271020737039875e-08
"B10 ((n,a))",Nuclide_14,5.2205227773896484e-09
"B11 ((n,a))",Nuclide_1,3.4152314473073956e-06
"B11 ((n,a))",Nuclide_18,1.3448558056015476e-07
"B11 ((n,a))",Nuclide_28,1.4717109405450666e-08
"B11 ((n,a))",Nuclide_10,1.0271174222473363e-08
"B11 ((n,a))",Nuclide_14,2.1952281529601563e-09
"B11 ((n,d))",Nuclide_1,3.321635881332101e-06
"B11 ((n,d))",Nuclide_18,1.8166508457510847e-07
"B11 ((n,d))",Nuclide_28,1.5817164868304156e-08
"B11 ((n,d))",Nuclide_14,4.178962764199595e-09
"B11 ((n,d))",Nuclide_15,1.5674742034418157e-09
"B11 ((n,na))",Nuclide_1,3.244484648559432e-06
"B11 ((n,na))",Nuclide_18,1.04008850589183e-07
"B11 ((n,na))",Nuclide_10,9.393867164801222e-08
"B11 ((n,na))",Nuclide_28,1.734341772887658e-08
"B11 ((n,na))",Nuclide_14,5.241397386787995e-09
"Be10 ((n,gamma))",Nuclide_1,3.3908204361482767e-06
"Be10 ((n,gamma))",Nuclide_10,1.493700662411112e-07
"Be10 ((n,gamma))",Nuclide_18,8.973969686366984e-08
"Be10 ((n,gamma))",Nuclide_14,4.261403474370575e-09
"Be10 ((n,gamma))",Nuclide_28,2.688979812889661e-09
"C11 ((n,2p))",Nuclide_1,3.223055405043772e-06
"C11 ((n,2p))",Nuclide_18,2.7881556110976673e-07
"C11 ((n,2p))",Nuclide_28,4.064886879981387e-08
"C11 ((n,2p))",Nuclide_14,1.3184812158971172e-08
"C11 ((n,2p))",Nuclide_25,6.851106974295498e-09
"C11 ((n,3He))",Nuclide_1,3.111347555275599e-06
"C11 ((n,3He))",Nuclide_18,3.6888698144808003e-07
"C11 ((n,3He))",Nuclide_28,5.1593663430109474e-08
"C11 ((n,3He))",Nuclide_14,1.7013793790758824e-08
"C11 ((n,3He))",Nuclide_25,1.36216866653884e-08
"C11 ((n,np))",Nuclide_1,3.4736442482829336e-06
"C11 ((n,np))",Nuclide_18,3.843376478725466e-08
"C11 ((n,np))",Nuclide_28,1.0351458322914524e-08
"C11 ((n,np))",Nuclide_14,5.887704065304797e-10
"C11 ((n,np))",Nuclide_15,4.501949691917768e-10
"C11 ((n,pd))",Nuclide_1,3.2476305008787032e-06
"C11 ((n,pd))",Nuclide_18,1.8734315135666742e-07
"C11 ((n,pd))",Nuclide_28,2.9464909018323407e-08
"C11 ((n,pd))",Nuclide_14,4.531062320531366e-09
"C11 ((n,pd))",Nuclide_25,2.960857007675074e-09
"C13 ((n,t))",Nuclide_1,3.2347577391916645e-06
"C13 ((n,t))",Nuclide_18,2.3324801362458906e-07
"C13 ((n,t))",Nuclide_28,3.323275249196937e-08
"C13 ((n,t))",Nuclide_14,1.309181504082557e-08
"C13 ((n,t))",Nuclide_23,2.2641438194697223e-09
